,title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id
548,Trust Issues,Care Package,2011-06-21,[],"['Adrian X', 'Nikhil Seetharam', 'T-Minus', '40']","['T-Minus', 'Rick Ross', '40', 'Nikhil Seetharam', 'DJ Khaled', 'Lil Wayne', 'Drake']",51360,549691.0
549,Try Harder,Room for Improvement,2006-02-14,[],['AmiR (Producer)'],"['AmiR (Producer)', 'Drake']",5166,2625.0
550,TSU,Certified Lover Boy,2021-09-03,[],"['OG Ron C', 'Noel Cadastre', 'Harley Arsenault']","['OG Ron C', 'Noel Cadastre', 'Timbaland', 'Justin Timberlake', 'Christopher Cross', 'R. Kelly', 'Harley Arsenault', 'Drake']",5312186,585647.0
551,TSU (Demo),<single>,,[],['Noel Cadastre'],"['Noel Cadastre', 'Drake']",7166258,
552,Tuscan Leather,Nothing Was the Same,2013-09-24,[],['40'],"['Steady B', 'KRS-One', 'Linda Thompson', 'Drake', 'Anthony Palman', '40', 'David Foster']",218337,40475.0
553,Tweets About Rolling Stone Interview,<single>,,[],[],[],361793,
554,Tweets With T. Boone Pickens,<single>,,[],[],[],374109,
555,"Two Birds, One Stone",<single>,2016-10-23,[],"['Kanye West', '40']","['Jordan Francis', 'Jon Castelli', '40', 'Kanye West', 'Drake']",2890543,
556,????u,<single>,2019-10-07,[],['PURPLE RIVER'],['Gabriel McDoanld'],5033303,
557,Under Chapels,<single>,,['Young Thug'],['Guh'],['EKA'],7290024,
558,Underdog,Comeback Season,2007-09-01,['Trey Songz'],['DJ Anuedy'],"['DJ Anuedy', 'Trey Songz', 'Drake']",18058,2622.0
559,Under Ground Kings,Take Care,2011-11-11,[],"['40', 'T-Minus']","['Drake', '40', 'T-Minus', 'Anthony Palman']",58340,10787.0
560,Unforgettable,Thank Me Later,2010-06-15,['Jeezy'],"['Boi-1da', '40']","['Drake', 'Jeezy', '40', 'Boi-1da', 'R. Kelly', 'Static Major', 'Ronald Isley', 'Ernie Isley', 'Marvin Isley', 'O’Kelly Isley', 'Rudolph Isley', 'Chris Jasper']",503,2630.0
561,Unfortunate*,<single>,,[],[],['Drake'],4870913,
562,Unstoppable,So Far Gone,2009-02-13,"['Santigold', 'Lil Wayne']","['John Hill', 'Diplo']","['Lil Wayne', 'Santigold', 'Drake', 'Diplo', 'John Hill', 'S. White']",18074,2627.0
563,Up All Night,Thank Me Later,2010-06-15,['Nicki Minaj'],"['Matthew Burnett', 'Boi-1da']","['Nicki Minaj', 'Matthew Burnett', 'Boi-1da', 'Drake']",517,2630.0
564,U.P.A. (Outro),Room for Improvement,2006-02-14,[],['Boi-1da'],"['Boi-1da', 'Drake']",3033405,2625.0
565,Uptown,So Far Gone,2009-02-13,"['Bun B', 'Lil Wayne']","['Arthur McArthur', 'Boi-1da']","['Northern Profit', 'Billy Joel', 'Arthur McArthur', 'Boi-1da', 'Drake', 'Lil Wayne', 'Bun B']",1526,2627.0
566,Used To,If You’re Reading This It’s Too Late,2015-02-13,['Lil Wayne'],['WondaGurl'],"['Marcello Giombini', 'Kenza Samir', 'Quentin Miller', 'Lil Wayne', 'Drake', 'WondaGurl']",685070,119674.0
567,U With Me?,Views,2016-04-29,[],"['40', 'Kanye West', 'OZ', 'Vinylz', 'DJ Dahi', 'Axl Folie', 'Ricci Riera']","['Drake', '40', 'Kanye West', 'Axl Folie', 'Devin Goode', 'Faith Evans', 'Dave Goode', 'Nokio the N-Tity', 'Phillip Weatherspoon', 'Anthony Fields', 'PARTYNEXTDOOR', 'OZ', 'Ricci Riera', 'Vinylz', 'DJ Dahi']",2463396,132506.0
568,Video Girl,Room for Improvement,2006-02-14,[],['Dan “DFS” Johnson'],"['Dan “DFS” Johnson', 'Drake', 'Boi-1da']",5033,2625.0
569,Views,Views,2016-04-29,[],"['Boi-1da', '40', 'Maneesh']","['Drake', '40', 'Boi-1da', 'Maneesh', 'Marvin Winans', 'Kenza Samir', 'Aion Clarke', 'Voyce']",2463394,132506.0
570,Views From The 6,<single>,2014-08-22,[],"['THC', 'DJ Dahi']","['DJ Dahi', 'Ricci Riera', 'Axl Folie', 'Drake']",503220,
571,Vital,<single>,,[],['The 25th Hr'],['Drake'],3630957,
572,Wants and Needs,Scary Hours 2,2021-03-05,['Lil Baby'],"['Cardo', 'Dez Wright', '40']","['Lil Baby', 'Cardo', 'Dez Wright', '40', 'Drake']",6555267,742624.0
573,Wants and Needs ft. Pepto B (REMIX),<single>,2022-12-06,['Pepto B'],"['Cardo', 'Dez Wright', '40']","['Cardo', 'Dez Wright', '40', 'Pepto B']",8620470,
574,War,Dark Lane Demo Tapes,2019-12-24,[],['AXL Beats'],"['AXL Beats', 'Drake']",5113565,630537.0
575,Way 2 Sexy,Certified Lover Boy,2021-09-03,"['Young Thug', 'Future']","['TM88', 'TooDope']","['Drake', 'Young Thug', 'Future', 'TM88', 'TooDope', 'Fred Fairbrass', 'Richard Fairbrass', 'Rob Manzoli']",7139486,585647.0
576,Wednesday Night Interlude,If You’re Reading This It’s Too Late,2015-02-13,['PARTYNEXTDOOR'],['PARTYNEXTDOOR'],"['Ekali', 'PARTYNEXTDOOR']",703746,119674.0
577,We’ll Be Fine,Take Care,2011-11-15,['Birdman'],"['40', 'T-Minus']","['Drake', 'Birdman', '40', 'T-Minus', 'Anthony Palman']",58341,10787.0
578,We Made It Freestyle,Smokers Choice,2013-12-28,['Soulja Boy'],['Purp Dogg'],"['Purp Dogg', 'Soulja Boy', 'Drake']",323145,907729.0
579,We Made It (Remix),Flight School: All-Star 2014,2014-02-14,"['Trae tha Truth', 'Soulja Boy']",[],"['Drake', 'Soulja Boy', 'Trae tha Truth']",450395,82890.0
580,Weston Road Flows,Views,2016-04-29,[],"['40', 'Stwo']","['Drake', '40', 'Stwo', 'Jon Levine', 'Kenza Samir', 'Edgar Key', 'David Carty', 'Mary J. Blige', 'Diddy', 'Chucky Thompson']",2463395,132506.0
581,What a Time to be a Slime,<single>,,['Young Thug'],['Wheezy'],"['Drake', 'Young Thug', 'Wheezy']",5758206,
582,What If I Kissed You,Young Sweet Jones 2,2010-08-06,[],['StarGate'],['Drake'],6181,348688.0
583,What I’m Thinkin’ Right Now,<single>,,[],[],[],3548,
584,What’s Next,Scary Hours 2,2021-03-05,[],"['Maneesh', 'Supah Mario']","['Maneesh', 'Drake']",6515213,742624.0
585,What’s Next (Demo),<single>,,"['Playboi Carti', 'Baby Keem']","['Supah Mario', 'Maneesh']","['Playboi Carti', 'Maneesh', 'Supah Mario', 'Drake', 'Baby Keem']",7169484,
586,What Up,Young Sweet Jones 2,,['UGK'],[],"['Bun B', 'Pimp C', 'Drake']",49944,348688.0
587,When To Say When,Dark Lane Demo Tapes,2020-03-01,[],"['AJ Costly', 'Alonzo “Roxx” Thornhill', 'June The Genius']","['AJ Costly', 'Ralph Johnson', 'Douglas Gibbs', 'Bobby Glenn', 'June The Genius', 'Alonzo “Roxx” Thornhill', 'Drake']",5127477,630537.0
588,Where to Now,Comeback Season,2007-09-01,[],['J\xa0Dilla'],['Drake'],3295,2622.0
589,Where Were You,<single>,,"['Colin Munroe', 'Dawn Richard']","['D10', 'Boi-1da']","['Boi-1da', 'D10', 'Colin Munroe', 'Dawn Richard', 'Drake']",88762,
590,Where Were You (Original),<single>,,['Colin Munroe'],"['D10', 'Boi-1da']",[],49488,
591,With You,Views,2016-04-29,['PARTYNEXTDOOR'],"['Cardiak', 'Nineteen85', 'Murda Beatz']","['Drake', 'PARTYNEXTDOOR', 'Cardiak', 'Murda Beatz', 'Nineteen85']",2463399,132506.0
592,Work No Play,<single>,,[],[],[],7474267,
593,Worst Behavior,Nothing Was the Same,2013-09-24,[],"['Detail', 'DJ Dahi']","['Drake', 'DJ Dahi', 'Detail', 'The Notorious B.I.G.', 'Diddy', 'Ma$e', 'Stevie J', 'Bernard Edwards', 'Nile Rodgers', 'Anthony Palman']",217266,40475.0
594,Would You Love Me,<single>,,['Uness'],['Ryan Leslie'],"['Uness', 'Drake']",61685,
595,Wu-Tang Forever,Nothing Was the Same,2013-09-12,[],['40'],"['James Beliveau', 'Ray Anthony Smith', 'Tyrone Armstrong', 'Thorir Baldursson', 'Mats Björklund', 'Jürgen Korduletsch', 'Jeremy Rose', 'Raekwon', 'Ghostface Killah', 'U-God', 'Inspectah Deck', 'RZA', '40', 'Anthony Palman', 'Drake']",214307,40475.0
596,Wu-Tang Forever (Remix),<single>,2016-01-16,['A$AP Rocky'],['40'],"['A$AP Rocky', 'Drake']",2408424,
597,Yamaha Mama,<single>,2012-05-25,['Chris Brown'],['Polow da Don'],"['Chris Brown', 'Drake']",75333,
598,Yikes (Reference),<single>,,[],"['Apex Martin', 'MIKE DEAN', 'Kanye West', 'Pi’erre Bourne']","['Kanye West', 'MIKE DEAN', 'James Mbarack Achieng', 'Ayub Ogada', 'CyHi', 'Consequence', 'Malik Yusef', '070 Shake', 'Pi’erre Bourne', 'Apex Martin', 'Kenneth Pershon', 'Bump J', 'Pardison Fontaine', 'Drake']",7125228,
599,You Got Me,<single>,,"['Sacario', 'Promise']",['KEEYNOTE'],[],436230,
600,"You Know, You Know",Young Sweet Jones,2016-08-17,[],['Kanye West'],"['Kanye West', 'Drake']",909,881461.0
601,You Only Live Twice,Certified Lover Boy,2021-09-03,"['Rick Ross', 'Lil Wayne']","['Brian “B-Nasty” Reid', 'Bink!']","['Brian “B-Nasty” Reid', 'Bink!', 'Rick Ross', 'Lil Wayne', 'Drake']",7165563,585647.0
602,You & The 6,If You’re Reading This It’s Too Late,2015-02-13,[],"['Vinylz', 'Allen Ritter', '!llmind', '40', 'Boi-1da']","['Majid Jordan', 'Jenna Andrews', 'Jordan Ullman', 'Allen Ritter', 'Vinylz', 'Ransom', '40', '!llmind', 'Boi-1da', 'Drake']",703755,119674.0
603,Zane Lowe Interview,<single>,,['Zane Lowe'],[],[],2464103,
604,Zodiac Sign,<single>,,['Jessie Reyez'],[],"['Jessie Reyez', 'Drake']",5362793,
605,Zone,Black Diamond 8 (Audible Narcotic),,[],[],[],50790,924577.0
